,Ticker,Price
2023-04-28,JPM,138.24000549316406
2023-05-01,JPM,141.1999969482422
2023-05-02,JPM,138.9199981689453
2023-05-03,JPM,135.97999572753906
2023-05-04,JPM,134.1199951171875
2023-05-05,JPM,136.74000549316406
2023-05-08,JPM,137.07000732421875
2023-05-09,JPM,136.41000366210938
2023-05-10,JPM,136.47999572753906
2023-05-11,JPM,136.0500030517578
2023-05-12,JPM,134.10000610351562
2023-05-15,JPM,135.22999572753906
2023-05-16,JPM,134.32000732421875
2023-05-17,JPM,138.4499969482422
2023-05-18,JPM,139.5
2023-05-19,JPM,139.17999267578125
2023-05-22,JPM,138.02999877929688
2023-05-23,JPM,136.58999633789062
2023-05-24,JPM,135.33999633789062
2023-05-25,JPM,135.6699981689453
2023-05-26,JPM,136.94000244140625
2023-05-30,JPM,137.4600067138672
2023-05-31,JPM,135.7100067138672
2023-06-01,JPM,137.5800018310547
2023-06-02,JPM,140.47000122070312
2023-06-05,JPM,139.08999633789062
2023-06-06,JPM,139.33999633789062
2023-06-07,JPM,140.69000244140625
2023-06-08,JPM,140.72999572753906
2023-06-09,JPM,141.00999450683594
2023-06-12,JPM,141.0
2023-06-13,JPM,142.02000427246094
2023-06-14,JPM,141.49000549316406
2023-06-15,JPM,143.08999633789062
2023-06-16,JPM,143.25999450683594
2023-06-20,JPM,142.52999877929688
2023-06-21,JPM,142.32000732421875
2023-06-22,JPM,139.5800018310547
2023-06-23,JPM,138.85000610351562
2023-06-26,JPM,139.19000244140625
2023-06-27,JPM,139.1999969482422
2023-06-28,JPM,138.58999633789062
2023-06-29,JPM,143.42999267578125
2023-06-30,JPM,145.44000244140625
2023-07-03,JPM,146.61000061035156
2023-07-05,JPM,144.63999938964844
2023-07-06,JPM,143.2100067138672
2023-07-07,JPM,144.33999633789062
2023-07-10,JPM,145.14999389648438
2023-07-11,JPM,147.4199981689453
2023-07-12,JPM,148.14999389648438
2023-07-13,JPM,148.8699951171875
2023-07-14,JPM,149.77000427246094
2023-07-17,JPM,153.3800048828125
2023-07-18,JPM,153.66000366210938
2023-07-19,JPM,154.25
2023-07-20,JPM,156.14999389648438
2023-07-21,JPM,154.9499969482422
2023-07-24,JPM,158.0
2023-07-25,JPM,156.82000732421875
2023-07-26,JPM,157.75999450683594
2023-07-27,JPM,156.02000427246094
2023-07-28,JPM,156.91000366210938
2023-07-31,JPM,157.9600067138672
2023-08-01,JPM,157.17999267578125
2023-08-02,JPM,155.39999389648438
2023-08-03,JPM,156.35000610351562
2023-08-04,JPM,156.02000427246094
2023-08-07,JPM,156.75999450683594
2023-08-08,JPM,155.8800048828125
2023-08-09,JPM,153.7899932861328
2023-08-10,JPM,153.55999755859375
2023-08-11,JPM,154.4499969482422
2023-08-14,JPM,154.77000427246094
2023-08-15,JPM,150.8300018310547
2023-08-16,JPM,150.19000244140625
2023-08-17,JPM,148.6300048828125
2023-08-18,JPM,148.97000122070312
2023-08-21,JPM,149.47999572753906
2023-08-22,JPM,146.3800048828125
2023-08-23,JPM,147.3699951171875
2023-08-24,JPM,147.22999572753906
2023-08-25,JPM,147.0500030517578
2023-08-28,JPM,147.55999755859375
2023-08-29,JPM,148.75999450683594
2023-08-30,JPM,148.16000366210938
2023-08-31,JPM,146.3300018310547
2023-09-01,JPM,146.82000732421875
2023-09-05,JPM,145.1999969482422
2023-09-06,JPM,144.9600067138672
2023-09-07,JPM,143.72000122070312
2023-09-08,JPM,143.8300018310547
2023-09-11,JPM,144.4600067138672
2023-09-12,JPM,146.33999633789062
2023-09-13,JPM,146.41000366210938
2023-09-14,JPM,149.25
2023-09-15,JPM,148.80999755859375
2023-09-18,JPM,149.1199951171875
2023-09-19,JPM,148.92999267578125
2023-09-20,JPM,148.3000030517578
2023-09-21,JPM,147.13999938964844
2023-09-22,JPM,145.72999572753906
2023-09-25,JPM,146.4499969482422
2022-09-01,KO,62.0
2022-09-02,KO,61.150001525878906
2022-09-06,KO,61.18000030517578
2022-09-07,KO,62.310001373291016
2022-09-08,KO,62.119998931884766
2022-09-09,KO,62.31999969482422
2022-09-12,KO,62.5
2022-09-13,KO,60.470001220703125
2022-09-14,KO,60.790000915527344
2022-09-15,KO,59.529998779296875
2022-09-16,KO,59.540000915527344
2022-09-19,KO,59.9900016784668
2022-09-20,KO,59.900001525878906
2022-09-21,KO,59.400001525878906
2022-09-22,KO,59.2599983215332
2022-09-23,KO,58.599998474121094
2022-09-26,KO,57.869998931884766
2022-09-27,KO,56.380001068115234
2022-09-28,KO,56.97999954223633
2022-09-29,KO,56.56999969482422
2022-09-30,KO,56.02000045776367
2022-10-03,KO,56.650001525878906
2022-10-04,KO,56.779998779296875
2022-10-05,KO,56.2400016784668
2022-10-06,KO,55.029998779296875
2022-10-07,KO,54.5099983215332
2022-10-10,KO,54.38999938964844
2022-10-11,KO,54.47999954223633
2022-10-12,KO,55.13999938964844
2022-10-13,KO,55.869998931884766
2022-10-14,KO,54.97999954223633
2022-10-17,KO,55.689998626708984
2022-10-18,KO,56.439998626708984
2022-10-19,KO,55.959999084472656
2022-10-20,KO,55.08000183105469
2022-10-21,KO,55.959999084472656
2022-10-24,KO,57.56999969482422
2022-10-25,KO,58.95000076293945
2022-10-26,KO,59.38999938964844
2022-10-27,KO,59.529998779296875
2022-10-28,KO,60.7599983215332
2022-10-31,KO,59.849998474121094
2022-11-01,KO,59.63999938964844
2022-11-02,KO,58.810001373291016
2022-11-03,KO,58.779998779296875
2022-11-04,KO,59.2599983215332
2022-11-07,KO,59.4900016784668
2022-11-08,KO,59.599998474121094
2022-11-09,KO,58.77000045776367
2022-11-10,KO,60.880001068115234
2022-11-11,KO,61.31999969482422
2022-11-14,KO,60.72999954223633
2022-11-15,KO,60.630001068115234
2022-11-16,KO,60.52000045776367
2022-11-17,KO,60.709999084472656
2022-11-18,KO,61.13999938964844
2022-11-21,KO,62.08000183105469
2022-11-22,KO,62.349998474121094
2022-11-23,KO,62.630001068115234
2022-11-25,KO,62.689998626708984
2022-11-28,KO,62.70000076293945
2022-11-29,KO,62.47999954223633
2022-11-30,KO,63.61000061035156
2022-12-01,KO,63.790000915527344
2022-12-02,KO,64.3499984741211
2022-12-05,KO,63.470001220703125
2022-12-06,KO,63.439998626708984
2022-12-07,KO,63.540000915527344
2022-12-08,KO,63.810001373291016
2022-12-09,KO,63.13999938964844
2022-12-12,KO,63.970001220703125
2022-12-13,KO,63.9900016784668
2022-12-14,KO,63.9900016784668
2022-12-15,KO,63.11000061035156
2022-12-16,KO,62.75
2022-12-19,KO,62.84000015258789
2022-12-20,KO,62.790000915527344
2022-12-21,KO,63.79999923706055
2022-12-22,KO,63.34000015258789
2022-12-23,KO,63.81999969482422
2022-12-27,KO,64.20999908447266
2022-12-28,KO,63.56999969482422
2022-12-29,KO,63.95000076293945
2022-12-30,KO,63.61000061035156
2023-01-03,KO,62.95000076293945
2023-01-04,KO,62.91999816894531
2023-01-05,KO,62.20000076293945
2023-01-06,KO,63.400001525878906
2023-01-09,KO,62.61000061035156
2023-01-10,KO,62.130001068115234
2023-01-11,KO,62.0099983215332
2023-01-12,KO,61.209999084472656
2023-01-13,KO,61.43000030517578
2023-01-17,KO,61.68000030517578
2023-01-18,KO,59.810001373291016
2023-01-19,KO,59.720001220703125
2023-01-20,KO,60.08000183105469
2023-01-23,KO,60.22999954223633
2023-01-24,KO,60.54999923706055
2023-01-25,KO,60.93000030517578
2023-01-26,KO,60.810001373291016
2023-01-27,KO,60.4900016784668
2023-01-30,KO,60.63999938964844
2023-01-31,KO,61.31999969482422
2023-02-01,KO,61.33000183105469
2023-02-02,KO,60.279998779296875
2023-02-03,KO,59.83000183105469
2023-02-06,KO,60.16999816894531
2023-02-07,KO,60.06999969482422
2023-02-08,KO,59.720001220703125
2023-02-09,KO,59.619998931884766
2023-02-10,KO,59.619998931884766
2023-02-13,KO,60.599998474121094
2023-02-14,KO,59.59000015258789
2023-02-15,KO,59.59000015258789
2023-02-16,KO,59.220001220703125
2023-02-17,KO,60.119998931884766
2023-02-21,KO,59.79999923706055
2023-02-22,KO,59.97999954223633
2023-02-23,KO,60.09000015258789
2023-02-24,KO,59.84000015258789
2023-02-27,KO,59.81999969482422
2023-02-28,KO,59.5099983215332
2023-03-01,KO,58.86000061035156
2023-03-02,KO,59.720001220703125
2023-03-03,KO,59.439998626708984
2023-03-06,KO,60.36000061035156
2023-03-07,KO,60.0099983215332
2023-03-08,KO,60.040000915527344
2023-03-09,KO,59.459999084472656
2023-03-10,KO,59.209999084472656
2023-03-13,KO,59.810001373291016
2023-03-14,KO,60.029998779296875
2023-03-15,KO,60.43000030517578
2023-03-16,KO,60.29999923706055
2023-03-17,KO,60.02000045776367
2023-03-20,KO,60.599998474121094
2023-03-21,KO,60.31999969482422
2023-03-22,KO,60.04999923706055
2023-03-23,KO,59.91999816894531
2023-03-24,KO,60.900001525878906
2023-03-27,KO,61.349998474121094
2023-03-28,KO,61.41999816894531
2023-03-29,KO,61.86000061035156
2023-03-30,KO,61.849998474121094
2023-03-31,KO,62.029998779296875
2023-04-03,KO,62.400001525878906
2023-04-04,KO,62.209999084472656
2023-04-05,KO,62.79999923706055
2023-04-06,KO,62.84000015258789
2023-04-10,KO,62.689998626708984
2023-04-11,KO,62.58000183105469
2023-04-12,KO,62.689998626708984
2023-04-13,KO,63.150001525878906
2023-04-14,KO,63.04999923706055
2023-04-17,KO,63.459999084472656
2023-04-18,KO,63.560001373291016
2023-04-19,KO,63.68000030517578
